Bankrupt?, ROA(C) before interest and depreciation before interest, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Cash Flow to Liability, Net Income to Total Assets
1,0.370594257300249,0.0212659243655332,0.207576261450555,0.792423738549445,0.458609147666847,0.716845343217827
1,0.464290937454297,0.0125023937843679,0.171176346101521,0.828823653898479,0.459001053294128,0.795297136043035
1,0.426071271876371,0.0212476860084444,0.207515796474892,0.792484203525108,0.459254035544147,0.774669696989803
1,0.399844001364988,0.0095724017180532,0.151464764035432,0.848535235964567,0.448517911623987,0.739554525158061
1,0.465022181055916,0.0051496001240208,0.106509054630105,0.893490945369894,0.454410931919338,0.79501587263578
1,0.388680349046946,0.0142131516792967,0.180427487377936,0.819572512622064,0.458499292999359,0.710420495100948
0,0.390922829425243,0.0244412223346921,0.216101823019016,0.783898176980984,0.457785444710335,0.736619097683939
0,0.508360551845171,0.0052781805414968,0.108202073948665,0.891797926051335,0.45895377822705,0.815350392476567
0,0.48851947545459,0.0022661158682825,0.058590561417299,0.941409438582701,0.46216521361677,0.803647289792132
0,0.495685662750451,0.0063542436097356,0.121292741179672,0.878707258820328,0.45937868668884,0.804194656500343
0,0.482474528347877,0.0049325636746641,0.103576503310457,0.896423496689543,0.459279521469678,0.814110614307489
0,0.444401111490274,0.0042923973408475,0.0943858270097046,0.905614172990295,0.459710253440943,0.804886952966321
0,0.491151952420416,0.0087343492098231,0.144662454273362,0.855337545726638,0.456967612604478,0.803260160615522
0,0.474040852142544,0.0051550716311474,0.106569519605768,0.893430480394232,0.462370531776726,0.794157852517078
0,0.506703066348169,0.0039832571881924,0.0896393264201711,0.910360673579829,0.453667056397653,0.819715357306136
0,0.513820504070589,0.0046115685899014,0.0990718626235753,0.900928137376425,0.459254688344577,0.815418713855725
0,0.48890947204212,0.0023974320393219,0.0612812528342957,0.938718747165704,0.459006086242149,0.810421134587852
0,0.535952810412909,0.0033239405794326,0.0787253983130272,0.921274601686973,0.458302724478283,0.826642041201762
0,0.504070589382343,0.0083549913823762,0.141336880611906,0.858663119388094,0.459402794777398,0.806263914593922
0,0.487398235265441,0.0032537229046407,0.0774858663119388,0.922514133688061,0.462332137534389,0.802551849429409
0,0.485253254034027,0.0044246254297412,0.0963509387187471,0.903649061281253,0.455090613025657,0.80463901213129
0,0.504558085116755,0.0047282940752697,0.100734649454304,0.899265350545696,0.469231802574489,0.814011882705804
0,0.512016769853264,0.008955945248452,0.146506636031079,0.853493363968921,0.459542976641068,0.808976427196184
0,0.49485692000195,0.017036449356642,0.19303443480364,0.80696556519636,0.460111688158798,0.798103629260323
0,0.509969287768732,0.0174112475948167,0.19451582670738,0.80548417329262,0.459342572577373,0.803444645412305
0,0.444986106371569,0.0089842147019396,0.14674849593373,0.85325150406627,0.459529522177529,0.772908884661082
0,0.519280456296007,0.0041382832234472,0.092057925446685,0.907942074553315,0.45851023130631,0.812973644132776
0,0.547408960171598,0.0012757730783611,0.0360975904707198,0.96390240952928,0.455552911588862,0.830176405307051
0,0.500853117535222,0.0039786975989202,0.0895788614445083,0.910421138555492,0.455170853063368,0.812100285489518
1,0.41612635889436,0.0259513583016442,0.219608791607461,0.780391208392539,0.457681019495935,0.750430839246873
1,0.462194705796324,0.030692419226876,0.228890165371708,0.771109834628292,0.459674631197096,0.787081562191271
0,0.476088334227076,0.0214911680755798,0.208241376182846,0.791758623817154,0.45914913492271,0.79602266635259
0,0.505874323599668,0.0059730619465798,0.116848565468452,0.883151434531548,0.458551614300823,0.8141021444053
0,0.486374494223176,0.0024494113570249,0.0623393899083955,0.937660610091604,0.454007840396168,0.80292347799953
0,0.494369424267538,0.0066095806089787,0.124104362547994,0.875895637452006,0.459329626351345,0.803065744296262
0,0.475162092331692,0.0064727929308127,0.122622970644254,0.877377029355746,0.459275516260618,0.811257383194871
0,0.462925949397943,0.0081270119187663,0.139281071439369,0.860718928560631,0.460667802115581,0.784384878843847
0,0.478915809486667,0.0090398416910604,0.147201983251202,0.852798016748798,0.457855457828504,0.797743521000021
0,0.481060790718081,0.0043589673442216,0.0953834991081416,0.904616500891858,0.456559761750806,0.798173897544613
0,0.486228245502852,0.0034032774327688,0.0800858602654412,0.919914139734559,0.459723277843404,0.801371569744629
0,0.507824306537318,0.0061454144210689,0.118874142153158,0.881125857846842,0.45938001641375,0.815731085142529
0,0.489153219909326,0.0027904686345854,0.0690207697191402,0.93097923028086,0.460359567854749,0.811426300758598
0,0.511188027104763,0.0037954021101779,0.0866463101248602,0.91335368987514,0.464121973155631,0.813567760267837
0,0.523034173450982,0.0079829288977648,0.137981074462618,0.862018925537382,0.459820259563935,0.816256591930727
0,0.508848047579584,0.0040790085629086,0.0911509508117423,0.908849049188258,0.459204649169205,0.807572628836292
0,0.488958221615561,0.0042823662444487,0.0942346645705475,0.905765335429453,0.456359977022223,0.806666537650301
0,0.502120606444694,0.0046535168112056,0.0996765123802038,0.900323487619796,0.459224245244123,0.813580403299354
0,0.523082923024424,0.0084224733036048,0.141941530368534,0.858058469631466,0.460375884237817,0.809900025793642
0,0.493345683225272,0.0192286998787149,0.20110650905463,0.79889349094537,0.454032447018203,0.799841684452634
0,0.505630575732462,0.0150913285731221,0.184660035674336,0.815339964325664,0.458623699956061,0.802637950812378
0,0.46955589138595,0.0099316973527024,0.154215920428092,0.845784079571908,0.459216954384753,0.788125640198415
0,0.52371666747916,0.0041091018521051,0.0916044381292137,0.908395561870786,0.460237682632189,0.811328897524071
0,0.521912933261834,0.001949680372792,0.0518487166308915,0.948151283369108,0.463846677564776,0.812826429211926
0,0.503193097060401,0.0042604802159421,0.0939021072044018,0.906097892795598,0.459455195434292,0.809661362707912
1,0.453029785989373,0.0222343811269481,0.210357650331046,0.789642349668954,0.459232761079238,0.777094466430958
1,0.472090869204894,0.0347841946397469,0.23529945279197,0.76470054720803,0.459301391508417,0.791982244970901
1,0.066933164334812,0.126572374360518,0.321371345648033,0.678628654351967,0.464287286339431,0.525650952071236
1,0.406668941646761,0.0268094730026719,0.221452973365178,0.778547026634822,0.457258491515623,0.746585996946147
0,0.482230780480671,0.0197539645628722,0.202859993348853,0.797140006651147,0.459119866146564,0.797585081424739
0,0.48851947545459,0.0083777893287372,0.141548508026726,0.858451491973275,0.459740410408393,0.804705530749328
0,0.476478330814605,0.0015028406241165,0.0416301357438704,0.95836986425613,0.459644917395706,0.797389746747958
0,0.48812947886706,0.0064554664915784,0.122411343229434,0.877588656770566,0.460458454332299,0.786042687462666
0,0.469165894798421,0.0059201707110223,0.116213683223992,0.883786316776008,0.459312029987885,0.802978468940389
0,0.482279530054112,0.0096553862428072,0.152099646279892,0.847900353720108,0.459803003113785,0.802836623544174
0,0.464193438307415,0.0105071175188539,0.158388003748828,0.841611996251172,0.456900114373211,0.790519359097307
0,0.475893335933311,0.0047164391431619,0.100553254527315,0.899446745472685,0.463546725698061,0.800033865258417
